usuario,comentario,pais,sentimiento,longitud,cluster_dbscan,sentimiento_valor
jorgesebastianq,lo mejor de cartagena es su gastronomía y su gente bacana 13000 cop cóctel de camarón fresco y traído hasta la carpa en la playa del laguito los pago con gusto a un vale que trabaja duro bajo el sol porque así es nuestra gente trabajadora y pa lante resuena,colombia,pos,257,0,1
marín retana,da miedo irplaya blanca podrá ser un destino turístico popular pero es como el dicho crea fama y échate a dormir es tan abrumador ir el nivel de acoso es impresionante sientes miedo inclusive si vas con guía de la zona nosotros tuvimos que ser escoltados al salir por un líder comunal de lo contrario no sabemos que nos hubiese sucedido fue una experiencia triste ver una playa tan bonita opacada por tanto comercio y gente que no creo que represente al colombiano esta situación no es al azar es algo que es común en las islas y en todo cartagena por favor turistas cuidarse,costa rica,neu,575,1,0
elías g,playa blanca se volvió un destino para las estafaslos vendedores son mentirosos primero te dicen un precio y al final te dan otro que puede ser el doble de caro mucho desorden no se respira tranquilidad,colombia,neg,202,1,-1
adriana t,playa blanca nunca más ire el ingreso a la playa es sucio lleno de basura los precios de la comida y las bebidas es absurdamente costos el abuso con el turista es terrible,ecuador,neg,171,1,-1
jet24547924048,playa blanca gracias a todos por comentar de su experienciaquiero agradecer a todos quienes se han dado tiempo de escribir e informar de lo q es esa playa y lo q susede con los turistas estoy en cartagena y estaba buscando como llegar ahí y me encuentro con estas sorpresas de hecho estos comentarios los estoy leyendo en algunas páginas y gracias a ustedes decido no ir allá tengo tres hijos pequeños y no quiero q me vaya a pasar algo malo bendiciones a todos hasta la victoria siempre soy un turista de ecuador,ecuador,neu,513,1,0
yesidfuentesva2,nadie habla sobre un cóctel a 13k es obviamente un precio asequiblela gente se queja de una mojarra en 150k por personas picadas de casi 800k apartando que la ciudad amurallada está hedionda a meao y curtida de prostitutas por eso y más santa marta,colombia,neg,248,-1,-1
irricardo,hoy traigo los colores de getsemaní qué lugar tan maravilloso me encantó,brasil,pos,72,1,1
martinzafra16,no me quiero ir cartagena,colombia,neg,25,1,-1
smorenoruiz,si la mahoma no va a la montaña la montaña va a mahoma hace un año empezamos a bailar música latina en montreal  nuestro sueño es ir juntas a un dancing retreat en cartagena  a bailar a la havana en getsemaní,canada,neu,208,-1,0
6470cruz,envíen circular intrenacional avisen a todos los turistas cartagena es un cagadero no vayan no más cruceros a ese lugar de mierda,colombia,neg,129,1,-1
fergiraldow,viajar a cartagena es como ir de paseo a singapur las islas fiji bora bora o dubai no por la belleza sino por los precios con los que atracan a los turistas,colombia,pos,156,1,1
paolandreaac,a mi me encanta ir a pensar cositas a cartagena una y mil veces,colombia,pos,63,-1,1
mssjulie,cartagena de leeejos es un destino que yo no volvería a visitar y que ni recomiendo ir a todo aquél que me pregunta por acá,colombia,neu,123,1,0
yayobustillo,histórico cartagena siempre será un buen plan hay que ir este domingo día de la virgen de la candelaria con toda la familia y amigos,colombia,pos,132,-1,1
stonerojas,el mejor castigo a los abusadores de los turistas es no ir y afectar el turismo en cartagena  más control alcaldiactg  el turismo se está perrateando,colombia,neg,149,1,-1
patty743,ciudades como cartagena o santamarta dejaron de ser un atractivo digno de conocer para ser escenario de prostitucion abusos cobros excesivos y un infierno para los animales mientras sus gobernantes alcahueteen esas situaciones la única solución es no visitarlos,colombia,neg,261,1,-1
urbina,me tengo que ir y no es por mi contigo esta mi corazónsalsa cartagena,mexico,neu,69,1,0
josraf,el truco de la bolsa de plástico no lo sabía algún día espero ir a cartagena,venezuela,neu,76,-1,0
